"fuente","divipola","Municipio","Departamento","valor","nombre_del_proyecto","categoria","subcategoria","fecha_corte"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","Escuela Artística Musical Avesol","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","ÑUKAKA PASTOS RUNAMI KANI (SOY INDÍGENA PASTOS)","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","LE GESTE, ESCUELA NACIONAL DE TEATRO FÍSICO HACIA UNA 
FORMACIÓN VIRTUAL","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","EXPRESARTE Y TRANS- FORMARTE","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","DAVIDAATUCAPACIDAD.ORG.- UN ESPACIO DE INTERACCIÓN, ACTUACIÓN E INCLUSIÓN","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","DANZA VIRTUAL PARA SEGUIR VIVIENDO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","ESCUELA DE ARTES INTERACTIVAS Y DIGITALES PARA LAS ARTES ESCÉNICAS - “PIXEL’ARTE","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","TRANSFORMANDO REALIDADES","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","CREANDO DESDE LA TRANSFORMACIÓN","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","+ARTE LOCAL - Módulos de formación inicial en la producción general, artística , técnica, comunicaciones y administración de las artes escénicas.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","Continuación de el proceso de formación cultural “Creando danza, Creando cultura” en la localidad de San Cristóbal, aplicando énfasis ambiental y habilidades de emprendimiento.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","Espacio familiar como un escenario de formación y creación artística generando construcción social.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","""La Farfalla"" Magazín artístico infantil y familiar","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","LA QUINTA CUENTA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","TransFormación","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","Escuela de Arte Comunitario “baila desde donde estés”","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","ENTONHUS, Sistema de Entrenamiento en Control y Manipulacion del Tono muscular","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
